shiftId,time,from,to,routeShortName
G-1,10:05 PM,arrowtown,frankton,10
G-1,10:35 PM,frankton,queenstown,11
H-6,3:05 PM,frankton,arrowtown,10
H-6,3:20 PM,arrowtown,frankton,10
H-6,4:20 PM,frankton,arrowtown,10
H-6,4:50 PM,arrowtown,queenstown,8
H-6,5:20 PM,queenstown,arthurs point,8
H-6,5:50 PM,arrowtown,frankton,10
H-6,6:25 PM,frankton,queenstown,11
H-6,6:50 PM,queenstown,frankton,11
I-11,3:55 PM,airport,remarkables park,11
I-11,4:10 PM,remarkables park,queenstown,11
I-11,4:30 PM,queenstown,remarkables park,11
I-11,5:10 PM,remarkables park,queenstown,11
I-11,5:30 PM,queenstown,remarkables park,11
